Id,Title,Short description,Long description,Company,Salary,Link
1,Junior Strong у IWIS,"Java Developer для розробки програмних модулей, інтеграційних програми, програмний супровід проекту.","Про компанію IWIS
Наша ціль - впроваджувати нові та вирішувати складні, нестандартні завдання в сфері IT, а саме в напрямку Mobile & Web розробки та Data Science.
наші клієнти: Планета кіно, Good Wine, River mall, HitWorks, Helen Marlen.

Бажані навики:
• Знання мови програмування Java;Впевнені знання ООП і шаблонів проектування;
• Впевнені знання алгоритмів і структур даних;
• Знання баз даних (MySQL, MongoDB);
• Розуміння форматів даних, таких як JSON і XML;
• Впевнене знаня фреймворку Spring, MVC, Security, Data, Boot, Cloud;
• Робота з інструментами: Maven, Git, Jira;
• Знання Java Core, Java 8;
• Знання англійської мови на рівні читання технічної документації.

Чим ти будеш займатись?
• Розробляти програмні модулі на Java;
• Розробляти інтеграційні програми;
• Писати технічноу документацію по розробленому програмному забезпеченню;
• Підтримувати роботу додатків, програмний супровід проекту;

Ми пропонуємо:
• Гнучкий графік роботи, можливість працювати віддалено;
• Атмосферу, націлену на відкритість, прямолінійність і підтримку в будь-якій ситуації;
• Можливість професійного та кар'єрного росту;
• Досвід роботи з відомими цікавими проектами;
• Лояльне керівництво, вся команда на «Ти» і ми любимо гумор.",IWIS,-,https://djinni.co/jobs/551539-java-developer-junior-strong-/
2,Backend Java Developer,"Розробка нових та підтримка вже існуючих проектів, що базуються на Java.","Ми розробляємо веб-сайти, інтернет-магазини, портали та інтерфейси для європейського ринку, здійснюємо технічну підтримку вже існуючих проектів, розробили свою власну CMS систему. Також ми охоче розглянемо студента або випускника ІТ-спеціальності.

Наш ідеальний кандидат має володіти знаннями у наступних сферах:
- Apache Tomcat
- XML, JSON
- Spring Framework (core, web MVC, data)
- Hibernate, JDBC
- PostgreSQL, SQL
- Fast problem solving
- Compliance with deadlines
- Вesire to study and develop
- TCP, HTTP

Буде безсумнівним плюсом :
- В тебе є досвід роботи з технологіями Java більш, ніж півроку
- В тебе є досвід роботи з системами керування версіями: SVN;

У твої обов’язки буде входити наступне :
- Розробка нових та підтримка вже існуючих проектів, що базуються на Java
- Приймати участь у командних брифах, працювати над покращенням проектів

На що ти можеш розраховувати :
- Товариська атмосфера в команді та взаємодопомога
- Оплачувана відпустка та відгули
- Переглад заробітної платні двічі на рік",Negeso,$500-1000,https://www.work.ua/jobs/5128174/
3,Junior Java у Bookmap,"Bookmap is a high-performance market data visualization & trading platform. If you are looking to challenge yourself, always was among the best in class, this job is for you
","Only theoretical knowledge and some pet-projects are required for Junior position.

We pay $ 100 for the completed test task!
Participate in the competition and receive $ 100 for completing the test task and the opportunity to become part of the Bookmap team.

Required:
1. Java fundamentals, OOP, Concurrency
2. Desire to improve skills
3. Passion to technologies

Good to have:
1. Computer Science knowledge: Algorithms, Data structures, Performance, etc.
2. Written English.
3. Interest in modern software and hardware technologies and frameworks.
4. Web basics: JS, Services, etc.
5. UI/UX fundamentals.

Benefits:
1. Сode from anywhere in the world. Completely remote!
2. Be part of a team that work on an innovative product (not an outsource company)
3. Grow with us to new technologies & algorithms
4. Improve your skills with a professional team
5. Get a decent salary with pleasure",Bookmap,до $1500,https://jobs.dou.ua/companies/veloxpro/vacancies/110673/
4,Junior Software Dev в Mocoding Ukraine,Junior Software Developer з досвідом роботи з проектами з відкритим кодом,"Мocoding Ukraine шукає мотивованого молодшого інженера програмного забезпечення або стажера для приєднання до нашої команди. 

Необхідні навики:
- Стійке розуміння принципів ООП, структур даних, алгоритмів та теорії графів.
- Має ступінь у галузі комп’ютерних наук або іншій комп’ютерній спеціальності.
- Добре розуміння екосистеми NodeJS — управління пакетами, засоби збірки.
- Досвід роботи з технологіями фронтенду, такими як HTML, CSS та сучасний JavaScript (ES6+) та Typescript.
- Знайомство з управлінням джерелами за допомогою GIT, вміння працювати в терміналі / консолі.

Майбутні обов’язки:
- Розробляти та підтримувати нові та існуючі проекти та бібліотеки.
- Брати участь у перевірці коду та сприяти розробці високоякісного програмного забезпечення.
- Співпрацювати з іншими членами команди для проектування та впровадження рішень, які відповідають бізнес-вимогам.

Ми пропонуємо:
- Гнучкий робочий графік
- Можливості для професійного росту та навчання
- Віддалене робоче середовище, яке сприяє творчості та інноваціям
- Підтримливу та співпрацюючу командну культуру, яка цінує відкриту комунікацію та співпрацю.

",Мocoding Ukraine,-,https://www.work.ua/jobs/5138632/
Id,Tittle,Short description,Long description,Company,Salary,Link
5,Software Developer for Software House,Seeing Junior Software Developer to join the team and work on multiple projects simultaneously.,"About the company:
SoftwareHouse is a leading software house specializing in building innovative products for diverse projects across different domains. With a skilled team of developers and cutting-edge technologies, SoftwareHouse crafts software solutions, including web applications, mobile apps, and more.

Responsibilities:
- Collaborating with the team to develop software solutions that meet client requirements
- Writing clean, efficient, and well-documented code
- Participating in code reviews and contributing to the development of best practices
- Troubleshooting and debugging software issues
- Staying up-to-date with emerging trends and technologies in software development

Requirements:
- U- p to 2 years of relevant experience.
- Proven experience with Nest JS (TS), Electron, PostgreSQL, Redis, and Google Cloud Platform
- Strong problem-solving skills and attention to detail
- Ability to work independently as well as part of a team
- Good communication skills
- Fluency in English (both written and spoken)

",SD Solutions,$1500-3000,https://djinni.co/jobs/547736-junior-software-developer-for-software-house/
6,Java Developer (middle) у PrivatBank,"Розробка системи управління персоналом банку. Написання коду для нового функціоналу, а також покращення старого функціоналу.","Приват Банк — є найбільшим банком України та одним з найбільш інноваційних банків світу. Займає лідируючі позиції за всіма фінансовими показниками в галузі та складає близько чверті всієї банківської системи країни.

Ми шукаємо Java Developer, який прагне працювати в динамічному середовищі та розділяє цінності взаємної довіри, відкритості та ініціативності.

Основні вимоги:
- Досвід розробки ПЗ від 2 років
- Досвід розробки web додатків
- Володіння Java Spring на рівні middle
- Володіння Java Script на рівні middle
- Знання SQL, MongoDB, GIT

Основні обов’язки:
- Розробка системи управління персоналом банку. 
- Написання коду для нового функціоналу, а також покращення старого функціоналу.

Своїм співробітникам ми пропонуємо:
- Роботу в найбільшому та інноваційному банку України
- Офіційне працевлаштування та 24 календарних дні відпустки
- Конкурентну заробітну плату
- Медичне страхування та корпоративний мобільний зв’язок
- Корпоративне навчання
- Віддалену роботу або сучасний офіс : Київ, Дніпро та Львів
- Цікаві проєкти, амбіційні задачі та динамічний розвиток
- Професійний колектив та сильну команду
- Ти можеш працювати у будь-якому місці, де ти почуваєшся безпечно
- Компенсація лікарняних у повному обсязі",PrivatBank,-,https://djinni.co/jobs/554434-java-developer-middle-/
7,Middle Java Developer,"Розробка нового функціоналу,
допомога в створенні архітектури,","Обов’язки:
- розробка нового функціоналу,
- допомога в створенні архітектури,
- розробка API,
- написання чистого, функціонального та продуктивного коду,
- тестування та виправлення помилок чи інших проблем з кодом.

Вимоги:
- хороші знання Java 2 SE, EE,
- розуміння принципів ООП,
- досвід роботи з PostgreSQL / Oracle, Apache Tomcat, Maven, Kubernetes,
- добре знання ANSI SQL,
- знання технологій Log4j, JDBC, JPA (Hibernate), Spring,
- знання основ захисту інформації та побудови захищених Web додатків,
- базовий рівень знань OC Unix / Linux,
- навички роботи з Eclipse IDE або IDEA,
- навички роботи з системами контролю версій GIT,
- базовий англійський (читати та працювати з документацією),
- досвід роботи в реальних проектах не менше 2 років.

Ми пропонуємо:
- Офіційне працевлаштування. Ми налаштовані на довготривалу співпрацю.
- 31 день оплачуваної відпустки, з яких 7 днів можна обміняти на грошову компенсацію.
- Оплачувані лікарняні.",Український процесінговий центр,,https://www.work.ua/jobs/4954671/
8,Java Developer,Розроба та вдосконалення сучасних ІТ-рішень для сфери страхування,"Наші продукти:
- Sagacity Digital Platform — платформа для автоматизації бізнес-процесів страхових компаній.
- Insurance Web Store — рішення для продажу договорів страхування онлайн на сайті компанії.

Наш основний стек:
- Backend: Java 11−17, Spring (Core, Security, Data, Boot, Cloud)
- Databases: PostgreSQL
- Other technologies: GitLab, GitLab CI, Elasticsearch.

Ідеальний кандидат для нашої команди з:
- Тривалістю комерційного досвіду роботи в ролі Java Developer не менше 3-х років
- Глибокими знаннями Java 11−17
- Досвідом роботи з Spring: Core, Security, Data, Boot
- Досвідом роботи з СУБД (PostgreSQL або подібними)
- Розумінням архітектури мікросервісів
- Досвідом роботи з Hibernate, JPA
- Досвідом роботи з Maven, Git, CI/CD
- Досвідом роботи з REST.

Чого чекати від нас?
- Віддалений формат роботи
- Flexitime — «гнучкий» робочий час
- Офіс в центрі (5 хв від ст.м. Контрактова площа)
- Оплачувана відпустка та лікарняні
- Застосування кращих практик командної роботи
- Програми страхування здоров’я та життя
- Багато активностей всередині компанії.
",Sagax,-,https://www.work.ua/jobs/5150523/
Id,Tittle,Short description,Long description,Company,Salary,Link
